Performance,,,,,,,,,,,,,,
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Alavés,25,23.0,51,2,2,351,308,51,440,190,250,,,0
Athletic Club,26,23.0,52,6,1,308,270,28,533,215,198,,,1
Atlético Madrid,27,23.0,42,2,1,265,210,53,484,177,227,,,0
Barcelona,27,23.0,33,2,2,212,267,48,315,165,218,,,0
Celta Vigo,27,23.0,46,1,1,269,267,45,280,168,194,,,1
Elche,30,23.0,47,3,1,292,317,38,334,184,226,,,0
Espanyol,23,23.0,48,2,1,303,276,34,506,184,233,,,1
Getafe,31,23.0,60,3,1,342,333,57,461,199,255,,,2
Girona,32,23.0,55,6,2,260,309,47,318,179,219,,,0
Levante,29,22.0,48,2,0,269,260,41,296,185,217,,,2
Mallorca,25,23.0,47,3,2,264,267,33,380,167,189,,,2
Osasuna,23,23.0,55,4,1,301,246,27,421,181,213,,,0
Oviedo,30,22.0,50,8,4,283,226,50,370,153,233,,,0
Rayo Vallecano,26,22.0,63,7,2,302,216,45,460,171,224,,,1
Real Betis,28,23.0,41,1,0,237,296,38,347,209,237,,,1
Real Madrid,27,23.0,40,4,1,230,305,36,351,155,240,,,0
Real Sociedad,31,23.0,48,3,0,341,260,56,418,184,266,,,1
Sevilla,32,23.0,69,2,1,344,301,65,390,186,265,,,0
Valencia,26,23.0,44,2,0,280,257,33,437,175,189,,,2
Villarreal,28,22.0,51,3,1,277,243,46,282,198,242,,,0
