Standard,,,,,,,,,,,,
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Alavés,25,23.0,19,266,90,33.8,11.57,3.91,0.06,0.17,4,4
Athletic Club,26,23.0,24,331,104,31.4,14.39,4.52,0.06,0.20,3,4
Atlético Madrid,27,23.0,34,304,127,41.8,13.22,5.52,0.11,0.25,2,3
Barcelona,27,23.0,62,467,173,37.0,20.30,7.52,0.12,0.34,4,6
Celta Vigo,27,23.0,30,247,91,36.8,10.74,3.96,0.10,0.26,6,6
Elche,30,23.0,30,250,87,34.8,10.87,3.78,0.12,0.34,0,1
Espanyol,23,23.0,26,296,99,33.4,12.87,4.30,0.08,0.23,3,4
Getafe,31,23.0,18,229,63,27.5,9.96,2.74,0.07,0.27,1,2
Girona,32,23.0,22,224,84,37.5,9.74,3.65,0.07,0.19,6,7
Levante,29,22.0,26,234,72,30.8,10.64,3.27,0.10,0.33,2,3
Mallorca,25,23.0,28,238,94,39.5,10.35,04.09,0.10,0.24,5,6
Osasuna,23,23.0,27,254,82,32.3,11.04,3.57,0.09,0.29,3,4
Oviedo,30,22.0,12,214,67,31.3,9.73,03.05,0.05,0.16,1,2
Rayo Vallecano,26,22.0,18,293,96,32.8,13.32,4.36,0.05,0.17,2,3
Real Betis,28,23.0,36,338,112,33.1,14.70,4.87,0.10,0.30,2,2
Real Madrid,27,23.0,49,435,164,37.7,18.91,7.13,0.09,0.24,9,11
Real Sociedad,31,23.0,33,298,113,37.9,12.96,4.91,0.10,0.26,4,4
Sevilla,32,23.0,28,270,92,34.1,11.74,4.00,0.09,0.26,4,5
Valencia,26,23.0,23,261,67,25.7,11.35,2.91,0.08,0.31,2,5
Villarreal,28,22.0,42,268,100,37.3,12.18,4.55,0.15,0.40,2,2
