Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Alavés,25,28.0,51.4,24,264,"2,16",24.0,20,10,30,16,4,4,51,2,0.83,0.42,1.25,0.67,01.08
Athletic Club,26,27.9,49.8,23,253,"2,07",23.0,24,15,39,21,3,4,52,6,01.04,0.65,1.70,0.91,1.57
Atlético Madrid,27,28.1,54.5,23,253,"2,07",23.0,34,21,55,32,2,3,42,2,1.48,0.91,2.39,1.39,2.30
Barcelona,27,25.3,69.0,23,253,"2,07",23.0,62,46,108,58,4,6,33,2,2.70,2.00,4.70,2.52,4.52
Celta Vigo,28,26.8,51.1,24,264,"2,16",24.0,32,19,51,26,6,6,46,1,1.33,0.79,2.12,01.08,1.87
Elche,31,27.0,58.6,24,264,"2,16",24.0,30,23,53,30,0,1,49,3,1.25,0.96,2.21,1.25,2.21
Espanyol,23,28.1,42.7,24,264,"2,16",24.0,28,19,47,25,3,4,49,2,1.17,0.79,1.96,01.04,1.83
Getafe,31,29.3,41.8,24,264,"2,16",24.0,20,17,37,18,2,3,62,3,0.83,0.71,1.54,0.75,1.46
Girona,32,27.9,49.4,23,253,"2,07",23.0,22,14,36,16,6,7,55,6,0.96,0.61,1.57,0.70,1.30
Levante,29,26.9,41.5,22,242,"1,98",22.0,26,15,41,24,2,3,48,2,1.18,0.68,1.86,01.09,1.77
Mallorca,25,28.4,43.0,23,253,"2,07",23.0,28,18,46,23,5,6,47,3,1.22,0.78,2.00,1.00,1.78
Osasuna,23,28.6,44.8,24,264,"2,16",24.0,27,20,47,24,3,4,59,4,1.13,0.83,1.96,1.00,1.83
Oviedo,30,28.8,44.0,22,242,"1,98",22.0,12,8,20,11,1,2,50,8,0.55,0.36,0.91,0.50,0.86
Rayo Vallecano,26,29.5,54.6,22,242,"1,98",22.0,18,14,32,16,2,3,63,7,0.82,0.64,1.45,0.73,1.36
Real Betis,28,28.3,50.0,23,253,"2,07",23.0,36,26,62,34,2,2,41,1,1.57,1.13,2.70,1.48,2.61
Real Madrid,27,25.8,59.0,24,264,"2,16",24.0,53,39,92,42,11,13,41,4,2.21,1.62,3.83,1.75,3.38
Real Sociedad,32,26.5,49.0,24,264,"2,16",24.0,34,22,56,29,5,5,49,3,1.42,0.92,2.33,1.21,2.12
Sevilla,33,27.6,53.5,24,264,"2,16",24.0,29,19,48,25,4,5,74,4,1.21,0.79,2.00,01.04,1.83
Valencia,26,27.4,48.3,23,253,"2,07",23.0,23,18,41,21,2,5,44,2,1.00,0.78,1.78,0.91,1.70
Villarreal,28,26.8,44.7,23,253,"2,07",23.0,43,29,72,41,2,2,54,3,1.87,1.26,3.13,1.78,03.04
