Performance,,,,,,,,,,,,,,
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Alavés,25,24.0,51,2,2,364,324,52,473,198,254,,,0
Athletic Club,26,23.0,52,6,1,308,270,28,533,215,198,,,1
Atlético Madrid,27,23.0,42,2,1,265,210,53,484,177,227,,,0
Barcelona,27,23.0,33,2,2,212,267,48,315,165,218,,,0
Celta Vigo,28,24.0,46,1,1,280,276,47,292,175,201,,,1
Elche,31,24.0,49,3,1,305,335,38,356,191,233,,,0
Espanyol,23,24.0,49,2,1,312,287,35,530,196,245,,,1
Getafe,31,24.0,62,3,1,363,350,58,479,211,272,,,2
Girona,32,23.0,55,6,2,260,309,47,318,179,219,,,0
Levante,29,22.0,48,2,0,269,260,41,296,185,217,,,2
Mallorca,25,23.0,47,3,2,264,267,33,380,167,189,,,2
Osasuna,23,24.0,59,4,1,319,259,31,432,199,221,,,0
Oviedo,30,22.0,50,8,4,283,226,50,370,153,233,,,0
Rayo Vallecano,26,22.0,63,7,2,302,216,45,460,171,224,,,1
Real Betis,28,23.0,41,1,0,237,296,38,347,209,237,,,1
Real Madrid,27,24.0,41,4,1,240,313,41,360,166,247,,,0
Real Sociedad,32,24.0,49,3,0,350,270,57,440,193,276,,,1
Sevilla,33,24.0,74,4,2,360,311,67,397,202,274,,,0
Valencia,26,23.0,44,2,0,280,257,33,437,175,189,,,2
Villarreal,28,23.0,54,3,1,294,263,48,296,207,247,,,0
